Park,July 2020,Aug 2020,Sept 2020,Oct 2020,Nov 2020,Dec 2020,Jan 2021,Feb 2021, Mar 2021 , Apr 2021 ,May 2021,Jun 2021,Total 
Millsite State Park," 3,803 "," 2,774 "," 2,533 "," 1,267 ",, 144 , 345 , 2 , 510 ," 2,343 "," 3,702 "," 4,697 "," 22,119 "
Jordan River OHV State Park," 13,782 "," 11,836 "," 7,885 "," 14,342 "," 5,818 "," 1,934 "," 1,931 ", -   , -   ," 5,794 "," 11,181 "," 18,219 "," 92,722 "
Otter Creek State Park," 9,694 "," 7,865 "," 7,249 "," 4,774 ", 754 , 399 , 512 , 284 ," 1,010 "," 5,276 "," 9,397 "," 14,847 "," 62,062 "
Palisade State Park," 39,601 "," 30,285 "," 27,211 "," 14,300 "," 2,199 ", 274 , 271 , 36 ," 1,842 "," 16,760 "," 23,266 "," 50,909 "," 206,954 "
Piute State Park, 523 , 311 , 163 , 146 , 64 , 49 , 11 , 14 , 53 , 202 , 165 , 381 ," 2,082 "
Point of the Mountain Sky Park, -   , -   , 55 , 211 ," 1,871 ", 918 , 878 , 660 , 617 , 968 ," 2,440 "," 2,797 "," 11,416 "
Quail Creek State Park," 27,435 "," 63,007 "," 34,743 "," 19,372 "," 8,545 "," 6,274 "," 6,320 "," 7,413 "," 13,854 "," 31,905 "," 37,244 "," 83,302 "," 339,413 "
Red Fleet State Park," 13,381 "," 13,071 "," 4,526 "," 1,047 ", 114 , 15 , 204 , 67 , 127 , 818 ," 6,508 "," 22,360 "," 62,238 "
Rockport State Park," 59,655 "," 55,550 "," 28,359 "," 5,312 ", 597 , 788 ," 6,748 "," 4,541 "," 10,689 "," 2,833 "," 15,690 "," 52,829 "," 243,591 "
Sand Hollow State Park," 191,344 "," 172,033 "," 101,439 "," 200,280 "," 34,197 "," 62,718 "," 46,394 "," 43,965 "," 54,378 "," 139,099 "," 188,981 "," 205,748 "," 1,440,574 "
Scofield State Park," 9,728 "," 6,902 "," 7,205 "," 2,199 ", 255 , 105 , 172 , 130 , 28 ," 4,763 "," 2,157 "," 10,317 "," 43,961 "
Snow Canyon State Park," 26,656 "," 24,399 "," 46,472 "," 74,665 "," 46,216 "," 59,758 "," 75,026 "," 68,911 "," 100,761 "," 116,138 "," 89,659 "," 67,390 "," 796,051 "
Fred Hayes State Park at Starvation," 44,358 "," 29,949 "," 21,025 "," 2,614 ", 616 , 142 , 540 ," 1,818 ", 724 ," 4,370 "," 7,812 "," 42,713 "," 156,680 "
Steinaker State Park," 9,623 "," 6,990 "," 4,524 "," 2,307 ", 189 , 218 ," 4,295 ", 852 , 486 ," 2,871 "," 4,178 "," 10,863 "," 47,397 "
Territorial Statehouse State Park, 160 , 375 , 106 , 160 , 232 , 76 , 41 , 47 , 220 , 402 , 245 ," 2,135 "," 4,197 "
Utah Field House Of Natural History State Park," 7,266 "," 7,005 "," 6,150 "," 5,871 "," 1,173 "," 1,148 "," 2,308 "," 1,629 "," 3,133 "," 8,428 "," 6,553 "," 15,190 "," 65,853 "
Utah Lake State Park," 54,683 "," 43,729 "," 24,309 "," 7,942 "," 3,899 "," 3,572 "," 8,254 "," 6,873 "," 9,681 "," 29,845 "," 40,681 "," 54,441 "," 287,910 "
Wasatch Mountain State Park," 75,745 "," 84,411 "," 74,762 "," 42,876 ", 597 ," 3,170 "," 3,996 "," 5,021 "," 4,507 "," 9,739 "," 27,569 "," 107,483 "," 439,876 "
Willard Bay State Park," 167,865 "," 145,448 "," 76,494 "," 15,585 "," 5,975 "," 97,393 "," 21,062 "," 8,640 "," 7,358 "," 42,386 "," 73,712 "," 217,839 "," 879,758 "
Yuba State Park," 32,554 "," 27,428 "," 11,715 "," 3,480 ", 764 , 218 , 115 , 415 ," 2,360 "," 10,529 "," 13,465 "," 43,231 "," 146,274 "
,,,,,,,,,,,,,
Total," 1,888,683 "," 1,666,892 "," 1,172,038 "," 893,569 "," 316,368 "," 373,997 "," 368,614 "," 304,091 "," 545,435 "," 1,058,768 "," 1,233,257 "," 2,258,742 "," 12,080,456 "
